,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
178,GJ Bailey,2,,,,,,,,,,,,,Australia,2015-02-01,2015-03-01
179,MJ Clarke,1,,,,,,,,,,,,,Australia,2015-02-01,2015-03-01
180,BJ Haddin,3,,,,,,,,,,,,,Australia,2015-02-01,2015-03-01
181,DA Warner,3,,,,,,,,,,,,,Australia,2015-02-01,2015-03-01
182,Shapoor Zadran,3,3,27.0,3,106,7,4/38,15.14,3.92,23.1,1,0,,Afghanistan,2015-02-01,2015-03-01
183,Hamid Hassan,3,3,29.0,1,138,6,3/45,23.0,4.75,29.0,0,0,,Afghanistan,2015-02-01,2015-03-01
184,Dawlat Zadran,2,2,19.0,1,73,4,3/29,18.25,3.84,28.5,0,0,,Afghanistan,2015-02-01,2015-03-01
185,Aftab Alam,1,1,9.0,0,55,2,2/55,27.5,6.11,27.0,0,0,,Afghanistan,2015-02-01,2015-03-01
186,Mirwais Ashraf,2,2,17.1,3,63,2,2/32,31.5,3.66,51.5,0,0,,Afghanistan,2015-02-01,2015-03-01
187,Mohammad Nabi,3,3,24.2,0,124,2,1/38,62.0,5.09,73.0,0,0,,Afghanistan,2015-02-01,2015-03-01
188,Gulbadin Naib,1,1,9.0,0,53,1,1/53,53.0,5.88,54.0,0,0,,Afghanistan,2015-02-01,2015-03-01
189,Asghar Afghan,3,1,0.5,0,6,0,,,7.2,,0,0,,Afghanistan,2015-02-01,2015-03-01
190,Javed Ahmadi,3,2,5.5,0,40,0,,,6.85,,0,0,,Afghanistan,2015-02-01,2015-03-01
191,Samiullah Shinwari,3,2,7.1,0,34,0,,,4.74,,0,0,,Afghanistan,2015-02-01,2015-03-01
192,Afsar Zazai,3,,,,,,,,,,,,,Afghanistan,2015-02-01,2015-03-01
193,Najibullah Zadran,3,,,,,,,,,,,,,Afghanistan,2015-02-01,2015-03-01
194,Nawroz Mangal,3,,,,,,,,,,,,,Afghanistan,2015-02-01,2015-03-01
195,Imran Tahir,3,3,30.0,2,129,9,5/45,14.33,4.3,20.0,0,1,,South Africa,2015-02-01,2015-03-01
196,M Morkel,3,3,23.3,1,131,6,2/23,21.83,5.57,23.5,0,0,,South Africa,2015-02-01,2015-03-01
197,DW Steyn,3,3,26.0,1,143,3,1/24,47.66,5.5,52.0,0,0,,South Africa,2015-02-01,2015-03-01
198,KJ Abbott,1,1,8.0,0,37,2,2/37,18.5,4.62,24.0,0,0,,South Africa,2015-02-01,2015-03-01
199,VD Philander,2,2,12.0,1,49,2,2/30,24.5,4.08,36.0,0,0,,South Africa,2015-02-01,2015-03-01
